m.
al.
Ggstz.
ICt.
irg.
Praep.
Comic.
neutr.
nhd.
dig.
angef.
Nbf.
absol.
obj., Obj.
vorherg.
Acc.
allg.
v. pr.
vollst.
Zsstz. od. Zusstzg.
eig.
leb.
Ew. od. Einw.
rhet.
entst.
v.
meton.
ungebr.
alqd
Zielp.
Zeitbest.
a. E.
altd.
Desider.
Ang.
altert.
Verb.
best.
Sing. od. Sing.
dgl. od. dergl.
prägn.
cf.
zB.
Lebl.
Ggst.
a. a. O.
locat.
n.
v. h.
in ders. Bed.
Bauk.
d.i.
Decl. od. Dekl.
c.
f.
L.
Superl.
lebl.
Örtl.
Zshg.
cod.
Intens.
umschr., Umschr.
s. v. a.
Akk.
jur. od. jurist.
WW.
Dat. od. Dat.
Def. od. Defect.
ungew.
Interj.
bes.
onomatop.
a.
sc.
St., Stt.
Zustz.
adj. od. adjekt.
A.
prädik.
übertr. od. übtr.
zugl.
adi.
gebr.
spez.
nachkl.
unpers.
synk.
insbes.
PAdi.
bl.
latin.
alci
Beiw.
Subst., Substst.
vorz.
zw.
pers.
Verbb.
abgek.
vorkl.
got.
urspr.
Bed.
gen.
ibid.
Coni.
subst.
refl.
fr. od. frgm.
ahd.
act.
Histor.
nachaug.
Adverb.
unkl.
Nbbgr.
b.
t. t.
id.
dav.
dass.
abstr.
j.
Plur. od. Plur.
st.
mhd.
etymol.
jmds.
gew.
vorh.
gl. N.
Ausg.
parenth.
zuw.
Demin.
intr.
alcis
zsgz. od. zsgzg.
Archit.
Kaiszt.
alqm, alqam, alqos, alqas
Compar.
Best.
dh.
jmd.
tr.
voraug.
konkr.
jmdm.
alqo, alqa
Inch.
Konj.
Hdschr.
abs. od. absol.
poet.
determ.
subj., Subj.
geschr.
W.
arch. od. archaist.
Adv.
