Alabastrite
Albinov.
Alschefsky
Ambros.
Amman
Anecd.
Anh.
Anke
Anm.
Anthol.
Antin.
Antonin.
Apollin.
Apr.
April
April.
Apul.
Aqu.
Arnob.
Arntzen
Arrunt.
Arv.
Ascan.
Ascon.
Aug.
Augustin.
Aur.
Ausleg.
Ausleger
Auslegg.
Auslgg.
Bacch.
Bach
Baiter
Barth
Beda
Beier
Benecke
Bentl.
Bentley
Bern.
Bithyn.
Blomf.
Bob.
Boeth.
Bonif.
Borrichii
Boëth.
Bremi
Brix
Broukh.
Brut.
Burm.
Burmann
Bücheler
Bünem.
Bünemann
Caecin.
Cael.
Caes.
Calendariis
Candid.
Capit.
Casaub.
Cass.
Cassius
Cato
Chalcid.
Choerob.
Cic.
Claud.
Colot.
Compar.
Consent.
Curius
Cypr.
Daniel
Dec.
Deder.
Dederich
Detl.
Dietsch
Diocl.
Dioscor.
Dissen
Dolab.
Dolabell.
Donat.
Drak.
Drelli
Dräger
Duker
Dähne
Döring
Eberhard
Eberhardt
Einleit.
Ellendt
Elmenhorst
Engelbr.
Erklärungen
Eulog.
Euod.
Evod.
Evodicus
Evodius
Exc.
Exerc.
Fabri
Febr.
Flach
Forbiger
Fritzsche
Frotscher
Fulg.
Funck
Galba
Galli
Garatoni
Gargil.
Germ.
German.
Germanic.
Gernh.
Gertz
Giese
Gloss.
Goßrau
Greg.
Gregor.
Gron.
Gronov
Gronov.
Gruber
Gräve
Görenz
Haase
Halm
Hand
Haupt
Heind.
Heindorf
Heine
Heinrich
Heins.
Heinse
Heinsius
Herbst
Herstellung
Hertz
Hertzb.
Heräus
Heusinger
Heyne
Heß
Hier.
Hieron.
Hilar.
Hildebr.
Hofmann
Holstein
Holtze
Hyg.
ICt.
II
II.
Idem
Innoc.
Inschr.
Inscr.
Iul.
Iuli
Iuvenc.
Jacobs
Jahn
Jan
Jordan
Kirchner
Klotz
Korte
Kritz
Kühner
Lachm.
Lachmann
Ladewig
Lamor.
Lat.
Latro
Lentul.
Lepid.
Lesart
Leutsch
Licin.
Lindem.
Lipsius
Longin.
Longus
Lor.
Lorenz
Luccei.
Luperc.
Löwe
Madv.
Madvig
Maecen.
Maecian.
Maff.
Mahne
Mall.
Mam.
Mamil.
Manutius
Manuzzi
Mar.
Marc.
Markland
Mart
Mart.
Mat.
Matthiä
Maxim.
Meißner
Mencken
Min.
Minuc.
Mommsen
Moser
Muncker
Mythogr.
März
Müller
Mützell
Mützell.
Nachtr.
Nebrid.
Nebridius
Nep.
Nipp.
Nipperd.
Nipperdey
Nol.
Nov.
Obbar.
Obbarius
Observv.
Obss.
Oehler
Orelli
Orig.
Origen.
Origin.
Osann
Osenbr.
Osenbrüggen
Otto
Oud.
Oudend.
Paneg.
Passerat.
Passow
Paucker
Paulin.
Phil.
Philarg.
Philoc.
Philol.
Piderit
Planc.
Plaut.
Plin.
Poll.
Pollio
Porc.
Poëta
Praenestini
Prob.
Probus
Ps.
Quicherat
Regul.
Reisigs
Rhode
Ribb.
Ribbeck
Ripperd.
Ritschl
Ritter
Ritters
Rudorff
Ruhkopf
Ruhnk.
Ruhnken
Ruperti
Rönsch
SC.
Sall.
Savaro
Schmid
Schneider
Schneidew.
Schol.
Scholien
Schuch
Schuetz
Schwabe
Schwarz
Schäfer
Schömann
Sen.
Seren.
Serg.
Serv.
Sever.
Seyff.
Seyffert
Sillig
Sorof
Spalding
Spart.
Spengel
Stat.
Stelle
Stellensammlung
Stewechius
Stiehle
Studemund
Stürenb.
Stürenberg
Suet.
Sulp.
Sulpic.
Supin.
Suppl.
Tac.
Ter.
Terent.
Tert.
Theod.
Thiel
Ticher
Tischer
Trai.
Traian.
Trebon.
Tzschucke
Unger
Urbiaca
Ursini
Ussing
Val.
Variante
Vat.
Vatin.
Ven.
Venus.
Verbesserung
Verec.
Verg.
Vermutung
Veron.
Victorin.
Vindob.
Vipasc.
Voigt
Volusian.
Vopisc.
Voß
Wagener
Wagner
Walch
Walther
Wehle
Weise
Weißenb.
Weißenborn
Wernsdorf.
Wesenberg
Wesseling
Westerh.
Wolff
Wopkens
Wunder
Wyttenbach
Wölffl.
Wölfflin
XVII
XXIV
Zumpt
