Benecke
Brix
Dissen
Drak.
Ellendt
Fabri
Hofmann
Korte
Kühner
Lachmann
Madvig
Muncker
Müller
Osann
Ruhnk.
Rönsch
Sorof
Spalding
Wagner
Weißenb.
Wölfflin
Zumpt
